mjd,fid,magpsf,sigmapsf
58647.33482640004,1,18.361229,0.12284822
58680.22563660005,1,18.257027,0.14164561
58709.16755789984,1,18.810423,0.21203645
58720.17190970015,1,19.307798,0.19095598
59011.29305560002,1,19.082733,0.1678298
59015.30708329985,1,18.285645,0.099963054
59027.35664349981,1,18.9902,0.223115
59039.33539350005,1,18.6094,0.1551268
59370.376921299845,1,18.289694,0.10480972
59378.33572919993,1,19.537214,0.17391697
59395.27255789982,1,17.997414,0.12600484
59411.293831000105,1,18.485153,0.13215528
